x	 y	 z	 vx	 vy	 vz	 [v]
0.767551	 -1.071172	 -0.512058	 0.012369	 0.008041	 0.003354	 0.015129
0.779920	 -1.063131	 -0.508704	 0.012289	 0.008153	 0.003408	 0.015136
0.792209	 -1.054978	 -0.505297	 0.012207	 0.008264	 0.003461	 0.015142
0.804415	 -1.046713	 -0.501836	 0.012124	 0.008375	 0.003514	 0.015148
0.816539	 -1.038338	 -0.498322	 0.012039	 0.008485	 0.003567	 0.015155
0.828578	 -1.029853	 -0.494755	 0.011953	 0.008594	 0.003619	 0.015161
0.840532	 -1.021259	 -0.491136	 0.011866	 0.008703	 0.003671	 0.015166
0.852398	 -1.012556	 -0.487465	 0.011778	 0.008810	 0.003723	 0.015172
0.864175	 -1.003746	 -0.483742	 0.011688	 0.008917	 0.003774	 0.015178
0.875863	 -0.994828	 -0.479968	 0.011596	 0.009023	 0.003825	 0.015183
0.887459	 -0.985805	 -0.476143	 0.011504	 0.009128	 0.003876	 0.015188
0.898963	 -0.976677	 -0.472267	 0.011410	 0.009232	 0.003926	 0.015194
0.910374	 -0.967445	 -0.468341	 0.011315	 0.009336	 0.003976	 0.015199
0.921688	 -0.958109	 -0.464364	 0.011219	 0.009438	 0.004026	 0.015203
0.932907	 -0.948671	 -0.460339	 0.011121	 0.009540	 0.004075	 0.015208
0.944028	 -0.939131	 -0.456263	 0.011022	 0.009640	 0.004124	 0.015213
0.955050	 -0.929491	 -0.452140	 0.010922	 0.009740	 0.004172	 0.015217
0.965972	 -0.919751	 -0.447967	 0.010820	 0.009839	 0.004220	 0.015221
0.976792	 -0.909913	 -0.443747	 0.010718	 0.009936	 0.004268	 0.015226
0.987510	 -0.899976	 -0.439479	 0.010614	 0.010033	 0.004315	 0.015230
0.998124	 -0.889943	 -0.435164	 0.010509	 0.010129	 0.004362	 0.015233
1.008633	 -0.879814	 -0.430802	 0.010403	 0.010223	 0.004408	 0.015237
1.019036	 -0.869591	 -0.426394	 0.010295	 0.010317	 0.004454	 0.015241
1.029331	 -0.859274	 -0.421940	 0.010187	 0.010410	 0.004499	 0.015244
1.039518	 -0.848864	 -0.417441	 0.010077	 0.010501	 0.004544	 0.015247
1.049595	 -0.838363	 -0.412896	 0.009966	 0.010592	 0.004589	 0.015250
1.059562	 -0.827771	 -0.408307	 0.009854	 0.010681	 0.004633	 0.015253
1.069416	 -0.817090	 -0.403675	 0.009741	 0.010769	 0.004676	 0.015256
1.079158	 -0.806321	 -0.398998	 0.009627	 0.010857	 0.004719	 0.015259
1.088785	 -0.795464	 -0.394279	 0.009512	 0.010943	 0.004762	 0.015261
1.098298	 -0.784522	 -0.389517	 0.009396	 0.011027	 0.004804	 0.015263
1.107694	 -0.773494	 -0.384713	 0.009279	 0.011111	 0.004846	 0.015266
1.116973	 -0.762383	 -0.379867	 0.009161	 0.011194	 0.004887	 0.015268
1.126133	 -0.751189	 -0.374980	 0.009041	 0.011275	 0.004927	 0.015269
1.135175	 -0.739914	 -0.370053	 0.008921	 0.011355	 0.004967	 0.015271
1.144096	 -0.728558	 -0.365085	 0.008800	 0.011434	 0.005007	 0.015273
1.152895	 -0.717124	 -0.360078	 0.008678	 0.011512	 0.005046	 0.015274
1.161573	 -0.705612	 -0.355033	 0.008555	 0.011589	 0.005084	 0.015275
1.170128	 -0.694023	 -0.349948	 0.008431	 0.011664	 0.005122	 0.015276
1.178558	 -0.682359	 -0.344826	 0.008306	 0.011738	 0.005160	 0.015277
1.186864	 -0.670621	 -0.339667	 0.008180	 0.011811	 0.005196	 0.015278
1.195044	 -0.658810	 -0.334470	 0.008053	 0.011883	 0.005233	 0.015278
1.203097	 -0.646927	 -0.329238	 0.007926	 0.011953	 0.005268	 0.015279
1.211023	 -0.634974	 -0.323969	 0.007797	 0.012022	 0.005303	 0.015279
1.218820	 -0.622952	 -0.318666	 0.007668	 0.012090	 0.005338	 0.015279
1.226488	 -0.610863	 -0.313328	 0.007538	 0.012156	 0.005372	 0.015279
1.234027	 -0.598707	 -0.307956	 0.007408	 0.012221	 0.005405	 0.015279
1.241434	 -0.586485	 -0.302551	 0.007276	 0.012285	 0.005438	 0.015279
1.248711	 -0.574201	 -0.297112	 0.007144	 0.012347	 0.005470	 0.015278
1.255855	 -0.561853	 -0.291642	 0.007011	 0.012408	 0.005502	 0.015277
1.262866	 -0.549445	 -0.286140	 0.006877	 0.012468	 0.005533	 0.015276
1.269743	 -0.536977	 -0.280607	 0.006743	 0.012527	 0.005563	 0.015275
1.276486	 -0.524450	 -0.275044	 0.006608	 0.012584	 0.005593	 0.015274
1.283095	 -0.511866	 -0.269450	 0.006473	 0.012639	 0.005622	 0.015273
1.289567	 -0.499227	 -0.263828	 0.006337	 0.012694	 0.005651	 0.015271
1.295904	 -0.486533	 -0.258177	 0.006200	 0.012747	 0.005679	 0.015270
1.302104	 -0.473786	 -0.252498	 0.006062	 0.012798	 0.005706	 0.015268
1.308166	 -0.460988	 -0.246791	 0.005924	 0.012848	 0.005733	 0.015266
