x	 y	 z	 vx	 vy	 vz	 [v]
-0.066275	 -0.988293	 -0.425248	 0.016500	 -0.001617	 -0.000750	 0.016596
-0.049775	 -0.989910	 -0.425999	 0.016516	 -0.001383	 -0.000650	 0.016586
-0.033259	 -0.991293	 -0.426648	 0.016527	 -0.001150	 -0.000550	 0.016576
-0.016732	 -0.992443	 -0.427198	 0.016535	 -0.000917	 -0.000449	 0.016567
-0.000197	 -0.993360	 -0.427647	 0.016539	 -0.000684	 -0.000349	 0.016557
0.016342	 -0.994044	 -0.427996	 0.016539	 -0.000452	 -0.000249	 0.016547
0.032882	 -0.994495	 -0.428246	 0.016535	 -0.000220	 -0.000149	 0.016537
0.049417	 -0.994715	 -0.428395	 0.016528	 0.000012	 -0.000050	 0.016528
0.065945	 -0.994703	 -0.428444	 0.016516	 0.000243	 0.000050	 0.016518
0.082461	 -0.994461	 -0.428394	 0.016501	 0.000473	 0.000149	 0.016508
0.098962	 -0.993988	 -0.428245	 0.016482	 0.000703	 0.000248	 0.016499
0.115444	 -0.993285	 -0.427997	 0.016459	 0.000932	 0.000347	 0.016489
0.131903	 -0.992353	 -0.427650	 0.016433	 0.001160	 0.000445	 0.016479
0.148335	 -0.991192	 -0.427205	 0.016402	 0.001388	 0.000543	 0.016470
0.164737	 -0.989804	 -0.426661	 0.016368	 0.001615	 0.000641	 0.016460
0.181106	 -0.988189	 -0.426020	 0.016331	 0.001841	 0.000739	 0.016451
0.197436	 -0.986348	 -0.425281	 0.016289	 0.002066	 0.000836	 0.016441
0.213726	 -0.984282	 -0.424446	 0.016245	 0.002290	 0.000932	 0.016432
0.229970	 -0.981992	 -0.423514	 0.016196	 0.002513	 0.001028	 0.016422
0.246167	 -0.979479	 -0.422485	 0.016144	 0.002735	 0.001124	 0.016413
0.262311	 -0.976744	 -0.421361	 0.016089	 0.002956	 0.001219	 0.016403
0.278399	 -0.973788	 -0.420141	 0.016030	 0.003176	 0.001314	 0.016394
0.294429	 -0.970613	 -0.418827	 0.015967	 0.003394	 0.001409	 0.016385
0.310396	 -0.967218	 -0.417419	 0.015901	 0.003612	 0.001502	 0.016375
0.326297	 -0.963607	 -0.415916	 0.015832	 0.003828	 0.001596	 0.016366
0.342129	 -0.959779	 -0.414321	 0.015759	 0.004043	 0.001688	 0.016357
0.357888	 -0.955736	 -0.412632	 0.015683	 0.004256	 0.001780	 0.016348
0.373571	 -0.951480	 -0.410852	 0.015604	 0.004468	 0.001872	 0.016338
0.389175	 -0.947012	 -0.408980	 0.015521	 0.004679	 0.001963	 0.016329
0.404696	 -0.942334	 -0.407017	 0.015435	 0.004888	 0.002053	 0.016320
0.420131	 -0.937446	 -0.404964	 0.015346	 0.005095	 0.002143	 0.016311
0.435477	 -0.932351	 -0.402821	 0.015254	 0.005301	 0.002232	 0.016302
0.450731	 -0.927050	 -0.400589	 0.015158	 0.005506	 0.002320	 0.016293
0.465889	 -0.921544	 -0.398269	 0.015059	 0.005709	 0.002408	 0.016284
0.480948	 -0.915835	 -0.395861	 0.014958	 0.005910	 0.002495	 0.016275
0.495906	 -0.909926	 -0.393366	 0.014853	 0.006109	 0.002581	 0.016266
0.510759	 -0.903817	 -0.390785	 0.014745	 0.006307	 0.002666	 0.016258
0.525504	 -0.897510	 -0.388119	 0.014635	 0.006503	 0.002751	 0.016249
0.540139	 -0.891007	 -0.385367	 0.014521	 0.006697	 0.002835	 0.016240
0.554659	 -0.884310	 -0.382532	 0.014404	 0.006889	 0.002918	 0.016232
0.569064	 -0.877420	 -0.379614	 0.014285	 0.007080	 0.003001	 0.016223
0.583349	 -0.870341	 -0.376613	 0.014163	 0.007268	 0.003082	 0.016214
0.597511	 -0.863072	 -0.373531	 0.014037	 0.007455	 0.003163	 0.016206
0.611549	 -0.855618	 -0.370368	 0.013910	 0.007640	 0.003243	 0.016197
0.625458	 -0.847978	 -0.367125	 0.013779	 0.007822	 0.003322	 0.016189
0.639237	 -0.840156	 -0.363803	 0.013646	 0.008003	 0.003400	 0.016181
0.652883	 -0.832153	 -0.360403	 0.013510	 0.008181	 0.003478	 0.016172
0.666393	 -0.823972	 -0.356925	 0.013372	 0.008358	 0.003554	 0.016164
0.679765	 -0.815614	 -0.353371	 0.013230	 0.008532	 0.003630	 0.016156
0.692995	 -0.807082	 -0.349742	 0.013087	 0.008705	 0.003704	 0.016148
0.706082	 -0.798377	 -0.346037	 0.012941	 0.008875	 0.003778	 0.016140
0.719023	 -0.789502	 -0.342260	 0.012792	 0.009043	 0.003851	 0.016132
0.731816	 -0.780460	 -0.338409	 0.012641	 0.009208	 0.003922	 0.016124
0.744457	 -0.771252	 -0.334486	 0.012488	 0.009372	 0.003993	 0.016116
0.756945	 -0.761880	 -0.330493	 0.012333	 0.009533	 0.004063	 0.016108
0.769278	 -0.752347	 -0.326430	 0.012175	 0.009692	 0.004132	 0.016101
0.781453	 -0.742656	 -0.322298	 0.012015	 0.009848	 0.004200	 0.016093
0.793467	 -0.732807	 -0.318098	 0.011852	 0.010003	 0.004267	 0.016085
0.805320	 -0.722805	 -0.313830	 0.011688	 0.010155	 0.004333	 0.016078
0.817007	 -0.712650	 -0.309497	 0.011521	 0.010304	 0.004398	 0.016070
0.828529	 -0.702346	 -0.305100	 0.011353	 0.010451	 0.004462	 0.016063
0.839881	 -0.691895	 -0.300638	 0.011182	 0.010596	 0.004525	 0.016056
0.851063	 -0.681299	 -0.296113	 0.011009	 0.010738	 0.004587	 0.016048
0.862072	 -0.670561	 -0.291526	 0.010834	 0.010878	 0.004647	 0.016041
0.872906	 -0.659683	 -0.286879	 0.010658	 0.011015	 0.004707	 0.016034
0.883564	 -0.648667	 -0.282172	 0.010479	 0.011150	 0.004766	 0.016027
0.894043	 -0.637517	 -0.277406	 0.010299	 0.011283	 0.004823	 0.016020
0.904342	 -0.626234	 -0.272583	 0.010117	 0.011413	 0.004880	 0.016013
0.914459	 -0.614821	 -0.267703	 0.009933	 0.011540	 0.004935	 0.016006
0.924392	 -0.603281	 -0.262768	 0.009747	 0.011665	 0.004990	 0.015999
0.934139	 -0.591617	 -0.257779	 0.009560	 0.011787	 0.005043	 0.015992
0.943699	 -0.579830	 -0.252736	 0.009371	 0.011907	 0.005095	 0.015986
0.953071	 -0.567923	 -0.247641	 0.009181	 0.012024	 0.005146	 0.015979
0.962252	 -0.555900	 -0.242495	 0.008989	 0.012138	 0.005196	 0.015973
0.971240	 -0.543762	 -0.237299	 0.008795	 0.012250	 0.005245	 0.015966
0.980036	 -0.531512	 -0.232055	 0.008600	 0.012359	 0.005292	 0.015960
0.988636	 -0.519153	 -0.226762	 0.008404	 0.012465	 0.005339	 0.015953
0.997040	 -0.506688	 -0.221424	 0.008206	 0.012569	 0.005384	 0.015947
1.005246	 -0.494119	 -0.216040	 0.008007	 0.012670	 0.005428	 0.015941
1.013253	 -0.481448	 -0.210611	 0.007807	 0.012769	 0.005471	 0.015935
1.021060	 -0.468679	 -0.205140	 0.007605	 0.012865	 0.005513	 0.015929
1.028665	 -0.455815	 -0.199627	 0.007402	 0.012958	 0.005554	 0.015923
1.036067	 -0.442857	 -0.194073	 0.007198	 0.013048	 0.005594	 0.015917
1.043266	 -0.429809	 -0.188479	 0.006993	 0.013136	 0.005632	 0.015911
1.050259	 -0.416673	 -0.182847	 0.006787	 0.013221	 0.005669	 0.015906
1.057046	 -0.403452	 -0.177178	 0.006580	 0.013303	 0.005705	 0.015900
1.063625	 -0.390149	 -0.171473	 0.006371	 0.013383	 0.005740	 0.015895
1.069997	 -0.376766	 -0.165732	 0.006162	 0.013459	 0.005774	 0.015889
1.076159	 -0.363307	 -0.159958	 0.005952	 0.013533	 0.005807	 0.015884
1.082111	 -0.349774	 -0.154152	 0.005741	 0.013605	 0.005838	 0.015878
1.087852	 -0.336169	 -0.148314	 0.005529	 0.013673	 0.005868	 0.015873
1.093381	 -0.322496	 -0.142446	 0.005316	 0.013739	 0.005897	 0.015868
1.098698	 -0.308758	 -0.136549	 0.005103	 0.013802	 0.005925	 0.015863
1.103801	 -0.294956	 -0.130624	 0.004889	 0.013862	 0.005951	 0.015858
1.108690	 -0.281094	 -0.124673	 0.004674	 0.013919	 0.005977	 0.015853
1.113364	 -0.267175	 -0.118696	 0.004459	 0.013974	 0.006001	 0.015848
1.117823	 -0.253201	 -0.112695	 0.004243	 0.014026	 0.006024	 0.015843
1.122066	 -0.239175	 -0.106670	 0.004026	 0.014075	 0.006046	 0.015839
1.126092	 -0.225101	 -0.100624	 0.003809	 0.014121	 0.006067	 0.015834
1.129901	 -0.210980	 -0.094558	 0.003592	 0.014164	 0.006086	 0.015829
1.133493	 -0.196815	 -0.088472	 0.003374	 0.014205	 0.006104	 0.015825
1.136866	 -0.182610	 -0.082367	 0.003155	 0.014243	 0.006121	 0.015821
1.140022	 -0.168367	 -0.076246	 0.002937	 0.014278	 0.006137	 0.015816
1.142958	 -0.154088	 -0.070109	 0.002718	 0.014311	 0.006152	 0.015812
1.145676	 -0.139778	 -0.063957	 0.002498	 0.014340	 0.006165	 0.015808
1.148174	 -0.125438	 -0.057792	 0.002279	 0.014367	 0.006178	 0.015804
1.150453	 -0.111071	 -0.051614	 0.002059	 0.014391	 0.006189	 0.015800
