x	 y	 z	 vx	 vy	 vz	 [v]
-5.214485	 -1.520359	 -0.524698	 0.002125	 -0.006291	 -0.002748	 0.007186
-5.212360	 -1.526650	 -0.527446	 0.002135	 -0.006288	 -0.002747	 0.007186
-5.210225	 -1.532938	 -0.530193	 0.002144	 -0.006285	 -0.002746	 0.007187
-5.208081	 -1.539224	 -0.532939	 0.002154	 -0.006283	 -0.002745	 0.007187
-5.205927	 -1.545506	 -0.535684	 0.002163	 -0.006280	 -0.002744	 0.007187
-5.203764	 -1.551786	 -0.538428	 0.002173	 -0.006277	 -0.002743	 0.007187
-5.201591	 -1.558064	 -0.541171	 0.002182	 -0.006274	 -0.002742	 0.007187
-5.199409	 -1.564338	 -0.543914	 0.002192	 -0.006271	 -0.002741	 0.007187
-5.197218	 -1.570609	 -0.546655	 0.002201	 -0.006269	 -0.002740	 0.007187
-5.195017	 -1.576878	 -0.549395	 0.002210	 -0.006266	 -0.002739	 0.007187
-5.192806	 -1.583144	 -0.552135	 0.002220	 -0.006263	 -0.002738	 0.007187
-5.190586	 -1.589406	 -0.554873	 0.002229	 -0.006260	 -0.002737	 0.007187
-5.188357	 -1.595666	 -0.557610	 0.002239	 -0.006257	 -0.002736	 0.007187
-5.186118	 -1.601923	 -0.560346	 0.002248	 -0.006254	 -0.002735	 0.007187
-5.183870	 -1.608178	 -0.563082	 0.002258	 -0.006251	 -0.002734	 0.007187
-5.181612	 -1.614429	 -0.565816	 0.002267	 -0.006248	 -0.002733	 0.007187
-5.179345	 -1.620677	 -0.568549	 0.002277	 -0.006245	 -0.002732	 0.007187
-5.177068	 -1.626923	 -0.571281	 0.002286	 -0.006242	 -0.002731	 0.007187
-5.174782	 -1.633165	 -0.574012	 0.002296	 -0.006239	 -0.002730	 0.007187
-5.172487	 -1.639404	 -0.576742	 0.002305	 -0.006236	 -0.002729	 0.007187
-5.170182	 -1.645641	 -0.579471	 0.002314	 -0.006233	 -0.002728	 0.007187
-5.167867	 -1.651874	 -0.582199	 0.002324	 -0.006230	 -0.002727	 0.007187
-5.165544	 -1.658105	 -0.584926	 0.002333	 -0.006227	 -0.002726	 0.007187
-5.163210	 -1.664332	 -0.587652	 0.002343	 -0.006224	 -0.002725	 0.007187
-5.160868	 -1.670557	 -0.590377	 0.002352	 -0.006221	 -0.002724	 0.007187
-5.158516	 -1.676778	 -0.593101	 0.002361	 -0.006218	 -0.002723	 0.007187
-5.156155	 -1.682997	 -0.595824	 0.002371	 -0.006215	 -0.002722	 0.007187
-5.153784	 -1.689212	 -0.598545	 0.002380	 -0.006212	 -0.002720	 0.007187
-5.151403	 -1.695424	 -0.601266	 0.002390	 -0.006209	 -0.002719	 0.007187
-5.149014	 -1.701633	 -0.603985	 0.002399	 -0.006206	 -0.002718	 0.007187
-5.146615	 -1.707840	 -0.606703	 0.002408	 -0.006203	 -0.002717	 0.007188
-5.144207	 -1.714043	 -0.609421	 0.002418	 -0.006200	 -0.002716	 0.007188
-5.141789	 -1.720243	 -0.612137	 0.002427	 -0.006197	 -0.002715	 0.007188
-5.139362	 -1.726439	 -0.614852	 0.002436	 -0.006194	 -0.002714	 0.007188
-5.136925	 -1.732633	 -0.617566	 0.002446	 -0.006190	 -0.002713	 0.007188
-5.134480	 -1.738824	 -0.620278	 0.002455	 -0.006187	 -0.002712	 0.007188
-5.132024	 -1.745011	 -0.622990	 0.002465	 -0.006184	 -0.002711	 0.007188
-5.129560	 -1.751195	 -0.625700	 0.002474	 -0.006181	 -0.002709	 0.007188
-5.127086	 -1.757376	 -0.628410	 0.002483	 -0.006178	 -0.002708	 0.007188
-5.124603	 -1.763554	 -0.631118	 0.002493	 -0.006175	 -0.002707	 0.007188
-5.122110	 -1.769728	 -0.633825	 0.002502	 -0.006171	 -0.002706	 0.007188
-5.119608	 -1.775900	 -0.636531	 0.002511	 -0.006168	 -0.002705	 0.007188
-5.117097	 -1.782068	 -0.639236	 0.002521	 -0.006165	 -0.002704	 0.007188
-5.114577	 -1.788233	 -0.641940	 0.002530	 -0.006162	 -0.002702	 0.007188
-5.112047	 -1.794394	 -0.644642	 0.002539	 -0.006158	 -0.002701	 0.007188
-5.109508	 -1.800553	 -0.647343	 0.002549	 -0.006155	 -0.002700	 0.007188
-5.106959	 -1.806708	 -0.650043	 0.002558	 -0.006152	 -0.002699	 0.007188
-5.104401	 -1.812860	 -0.652742	 0.002567	 -0.006149	 -0.002698	 0.007188
-5.101834	 -1.819009	 -0.655440	 0.002576	 -0.006145	 -0.002697	 0.007188
-5.099257	 -1.825154	 -0.658137	 0.002586	 -0.006142	 -0.002695	 0.007189
-5.096672	 -1.831296	 -0.660832	 0.002595	 -0.006139	 -0.002694	 0.007189
-5.094077	 -1.837435	 -0.663526	 0.002604	 -0.006135	 -0.002693	 0.007189
-5.091472	 -1.843570	 -0.666219	 0.002614	 -0.006132	 -0.002692	 0.007189
-5.088859	 -1.849702	 -0.668911	 0.002623	 -0.006129	 -0.002691	 0.007189
-5.086236	 -1.855830	 -0.671601	 0.002632	 -0.006125	 -0.002689	 0.007189
-5.083603	 -1.861956	 -0.674291	 0.002641	 -0.006122	 -0.002688	 0.007189
-5.080962	 -1.868078	 -0.676979	 0.002651	 -0.006118	 -0.002687	 0.007189
-5.078311	 -1.874196	 -0.679666	 0.002660	 -0.006115	 -0.002686	 0.007189
-5.075652	 -1.880311	 -0.682351	 0.002669	 -0.006112	 -0.002684	 0.007189
-5.072982	 -1.886423	 -0.685036	 0.002678	 -0.006108	 -0.002683	 0.007189
-5.070304	 -1.892531	 -0.687719	 0.002688	 -0.006105	 -0.002682	 0.007189
-5.067616	 -1.898636	 -0.690401	 0.002697	 -0.006101	 -0.002681	 0.007189
-5.064919	 -1.904737	 -0.693082	 0.002706	 -0.006098	 -0.002679	 0.007189
-5.062213	 -1.910835	 -0.695761	 0.002715	 -0.006094	 -0.002678	 0.007189
-5.059498	 -1.916929	 -0.698439	 0.002725	 -0.006091	 -0.002677	 0.007189
-5.056773	 -1.923020	 -0.701116	 0.002734	 -0.006087	 -0.002676	 0.007190
-5.054039	 -1.929107	 -0.703792	 0.002743	 -0.006084	 -0.002674	 0.007190
-5.051296	 -1.935191	 -0.706466	 0.002752	 -0.006080	 -0.002673	 0.007190
-5.048544	 -1.941272	 -0.709139	 0.002761	 -0.006077	 -0.002672	 0.007190
-5.045783	 -1.947348	 -0.711811	 0.002771	 -0.006073	 -0.002670	 0.007190
-5.043012	 -1.953422	 -0.714481	 0.002780	 -0.006070	 -0.002669	 0.007190
-5.040232	 -1.959492	 -0.717150	 0.002789	 -0.006066	 -0.002668	 0.007190
-5.037443	 -1.965558	 -0.719818	 0.002798	 -0.006063	 -0.002667	 0.007190
-5.034645	 -1.971620	 -0.722485	 0.002807	 -0.006059	 -0.002665	 0.007190
-5.031837	 -1.977679	 -0.725150	 0.002817	 -0.006055	 -0.002664	 0.007190
-5.029021	 -1.983735	 -0.727814	 0.002826	 -0.006052	 -0.002663	 0.007190
-5.026195	 -1.989787	 -0.730476	 0.002835	 -0.006048	 -0.002661	 0.007190
-5.023360	 -1.995835	 -0.733138	 0.002844	 -0.006045	 -0.002660	 0.007190
-5.020516	 -2.001880	 -0.735798	 0.002853	 -0.006041	 -0.002659	 0.007190
-5.017663	 -2.007921	 -0.738456	 0.002862	 -0.006037	 -0.002657	 0.007191
-5.014800	 -2.013958	 -0.741113	 0.002872	 -0.006034	 -0.002656	 0.007191
-5.011929	 -2.019992	 -0.743769	 0.002881	 -0.006030	 -0.002655	 0.007191
-5.009048	 -2.026022	 -0.746424	 0.002890	 -0.006026	 -0.002653	 0.007191
-5.006158	 -2.032048	 -0.749077	 0.002899	 -0.006023	 -0.002652	 0.007191
